customerID,tenure,TenureBand,Contract,PaymentMethod,MonthlyCharges,ServiceCount,TechSupport,OnlineSecurity,InternetService,ChurnProbability,RiskLevel,ObservedRiskFactors
9497-QCMMS,1,0-12 months,Month-to-month,Electronic check,93.55,4,No,No,Fiber optic,0.9529061498112179,High,Month-to-month contract; Short customer tenure; No technical support
5178-LMXOP,1,0-12 months,Month-to-month,Electronic check,95.1,4,No,No,Fiber optic,0.9525830386894271,High,Month-to-month contract; Short customer tenure; No technical support
9300-AGZNL,1,0-12 months,Month-to-month,Electronic check,94.0,4,No,No,Fiber optic,0.9524523573447665,High,Month-to-month contract; Short customer tenure; No technical support
7216-EWTRS,1,0-12 months,Month-to-month,Electronic check,100.8,5,No,No,Fiber optic,0.9517117876994047,High,Month-to-month contract; Short customer tenure; No technical support
4424-TKOPW,2,0-12 months,Month-to-month,Electronic check,93.85,4,No,No,Fiber optic,0.9510876118814371,High,Month-to-month contract; Short customer tenure; No technical support
7024-OHCCK,2,0-12 months,Month-to-month,Electronic check,93.85,4,No,No,Fiber optic,0.9509880991913895,High,Month-to-month contract; Short customer tenure; No technical support
2720-WGKHP,2,0-12 months,Month-to-month,Electronic check,94.0,4,No,No,Fiber optic,0.9508727285838273,High,Month-to-month contract; Short customer tenure; No technical support
5567-WSELE,3,0-12 months,Month-to-month,Electronic check,94.6,4,No,No,Fiber optic,0.9499547114373654,High,Month-to-month contract; Short customer tenure; No technical support
5150-ITWWB,3,0-12 months,Month-to-month,Electronic check,94.85,4,No,No,Fiber optic,0.9485836984347726,High,Month-to-month contract; Short customer tenure; No technical support
1374-DMZUI,4,0-12 months,Month-to-month,Electronic check,94.3,4,No,No,Fiber optic,0.947504474864219,High,Month-to-month contract; Short customer tenure; No technical support
8098-LLAZX,4,0-12 months,Month-to-month,Electronic check,95.45,4,No,No,Fiber optic,0.9460860909958779,High,Month-to-month contract; Short customer tenure; No technical support
8149-RSOUN,1,0-12 months,Month-to-month,Electronic check,93.85,4,No,No,Fiber optic,0.9448745441057743,High,Month-to-month contract; Short customer tenure; No technical support
4910-GMJOT,1,0-12 months,Month-to-month,Electronic check,94.6,4,No,No,Fiber optic,0.9439941430669772,High,Month-to-month contract; Short customer tenure; No technical support
6861-XWTWQ,7,0-12 months,Month-to-month,Electronic check,99.25,5,No,No,Fiber optic,0.9433740617134765,High,Month-to-month contract; Short customer tenure; No technical support
0295-PPHDO,1,0-12 months,Month-to-month,Electronic check,95.45,4,No,No,Fiber optic,0.9429803717412436,High,Month-to-month contract; Short customer tenure; No technical support
5419-JPRRN,1,0-12 months,Month-to-month,Electronic check,101.45,5,No,No,Fiber optic,0.9415753582750426,High,Month-to-month contract; Short customer tenure; No technical support
7851-WZEKY,2,0-12 months,Month-to-month,Electronic check,95.15,4,No,No,Fiber optic,0.941540215967641,High,Month-to-month contract; Short customer tenure; No technical support
3049-SOLAY,3,0-12 months,Month-to-month,Electronic check,95.2,4,No,No,Fiber optic,0.9411377566974548,High,Month-to-month contract; Short customer tenure; No technical support
1400-MMYXY,3,0-12 months,Month-to-month,Electronic check,105.9,6,No,No,Fiber optic,0.940845636406718,High,Month-to-month contract; Short customer tenure; No technical support
3158-MOERK,2,0-12 months,Month-to-month,Electronic check,96.0,4,No,No,Fiber optic,0.940378743316321,High,Month-to-month contract; Short customer tenure; No technical support
6496-SLWHQ,3,0-12 months,Month-to-month,Electronic check,105.0,6,No,No,Fiber optic,0.9402525915098119,High,Month-to-month contract; Short customer tenure; No technical support
8884-ADFVN,7,0-12 months,Month-to-month,Electronic check,101.95,5,No,No,Fiber optic,0.9402118172353341,High,Month-to-month contract; Short customer tenure; No technical support
6023-YEBUP,3,0-12 months,Month-to-month,Electronic check,100.95,5,No,No,Fiber optic,0.9385861910772241,High,Month-to-month contract; Short customer tenure; No technical support
4822-RVYBB,8,0-12 months,Month-to-month,Electronic check,100.6,5,No,No,Fiber optic,0.9385616891210482,High,Month-to-month contract; Short customer tenure; No technical support
3068-OMWZA,1,0-12 months,Month-to-month,Electronic check,88.8,4,No,No,Fiber optic,0.9381249087997462,High,Month-to-month contract; Short customer tenure; No technical support
1069-XAIEM,1,0-12 months,Month-to-month,Electronic check,85.05,3,No,No,Fiber optic,0.9378269006633672,High,Month-to-month contract; Short customer tenure; No technical support
9057-SIHCH,3,0-12 months,Month-to-month,Electronic check,96.6,4,No,No,Fiber optic,0.9377826005430855,High,Month-to-month contract; Short customer tenure; No technical support
4695-WJZUE,2,0-12 months,Month-to-month,Electronic check,88.55,4,No,No,Fiber optic,0.9375929811067664,High,Month-to-month contract; Short customer tenure; No technical support
2545-EBUPK,2,0-12 months,Month-to-month,Electronic check,84.05,3,No,No,Fiber optic,0.9371946126905127,High,Month-to-month contract; Short customer tenure; No technical support
1415-YFWLT,1,0-12 months,Month-to-month,Electronic check,89.3,3,No,No,Fiber optic,0.9370129821876851,High,Month-to-month contract; Short customer tenure; No technical support
