customerID,tenure,TenureBand,Contract,PaymentMethod,MonthlyCharges,ServiceCount,TechSupport,OnlineSecurity,InternetService,SelectedModel,ChurnProbability,RiskLevel,ObservedRiskFactors,Sprint2RiskLevel,RiskCategoryChanged
7216-EWTRS,1,0-12 months,Month-to-month,Electronic check,100.8,5,No,No,Fiber optic,Random Forest,0.966296994746174,High,Month-to-month contract; Short customer tenure; No technical support,High,False
9497-QCMMS,1,0-12 months,Month-to-month,Electronic check,93.55,4,No,No,Fiber optic,Random Forest,0.9648278515837757,High,Month-to-month contract; Short customer tenure; No technical support,High,False
9300-AGZNL,1,0-12 months,Month-to-month,Electronic check,94.0,4,No,No,Fiber optic,Random Forest,0.9648278515837757,High,Month-to-month contract; Short customer tenure; No technical support,High,False
5419-JPRRN,1,0-12 months,Month-to-month,Electronic check,101.45,5,No,No,Fiber optic,Random Forest,0.962637034734284,High,Month-to-month contract; Short customer tenure; No technical support,High,False
0295-PPHDO,1,0-12 months,Month-to-month,Electronic check,95.45,4,No,No,Fiber optic,Random Forest,0.9585052586446845,High,Month-to-month contract; Short customer tenure; No technical support,High,False
5178-LMXOP,1,0-12 months,Month-to-month,Electronic check,95.1,4,No,No,Fiber optic,Random Forest,0.9584746999277394,High,Month-to-month contract; Short customer tenure; No technical support,High,False
4910-GMJOT,1,0-12 months,Month-to-month,Electronic check,94.6,4,No,No,Fiber optic,Random Forest,0.9581500830083941,High,Month-to-month contract; Short customer tenure; No technical support,High,False
8149-RSOUN,1,0-12 months,Month-to-month,Electronic check,93.85,4,No,No,Fiber optic,Random Forest,0.9581500830083941,High,Month-to-month contract; Short customer tenure; No technical support,High,False
1069-XAIEM,1,0-12 months,Month-to-month,Electronic check,85.05,3,No,No,Fiber optic,Random Forest,0.9565019723663594,High,Month-to-month contract; Short customer tenure; No technical support,High,False
7024-OHCCK,2,0-12 months,Month-to-month,Electronic check,93.85,4,No,No,Fiber optic,Random Forest,0.9562075182843085,High,Month-to-month contract; Short customer tenure; No technical support,High,False
6861-XWTWQ,7,0-12 months,Month-to-month,Electronic check,99.25,5,No,No,Fiber optic,Random Forest,0.9561849666068117,High,Month-to-month contract; Short customer tenure; No technical support,High,False
2720-WGKHP,2,0-12 months,Month-to-month,Electronic check,94.0,4,No,No,Fiber optic,Random Forest,0.9555089252833227,High,Month-to-month contract; Short customer tenure; No technical support,High,False
4822-RVYBB,8,0-12 months,Month-to-month,Electronic check,100.6,5,No,No,Fiber optic,Random Forest,0.954846909490946,High,Month-to-month contract; Short customer tenure; No technical support,High,False
4424-TKOPW,2,0-12 months,Month-to-month,Electronic check,93.85,4,No,No,Fiber optic,Random Forest,0.9544321026304313,High,Month-to-month contract; Short customer tenure; No technical support,High,False
8603-IJWDN,1,0-12 months,Month-to-month,Electronic check,86.6,3,No,No,Fiber optic,Random Forest,0.9533671444078378,High,Month-to-month contract; Short customer tenure; No technical support,High,False
3158-MOERK,2,0-12 months,Month-to-month,Electronic check,96.0,4,No,No,Fiber optic,Random Forest,0.9520994235965344,High,Month-to-month contract; Short customer tenure; No technical support,High,False
8775-LHDJH,1,0-12 months,Month-to-month,Electronic check,90.6,4,No,No,Fiber optic,Random Forest,0.9518155788974008,High,Month-to-month contract; Short customer tenure; No technical support,High,False
2656-TABEH,4,0-12 months,Month-to-month,Electronic check,100.2,5,No,No,Fiber optic,Random Forest,0.9517030717281841,High,Month-to-month contract; Short customer tenure; No technical support,High,False
0781-LKXBR,9,0-12 months,Month-to-month,Electronic check,100.5,5,No,No,Fiber optic,Random Forest,0.9515650294122546,High,Month-to-month contract; Short customer tenure; No technical support,High,False
9305-CDSKC,8,0-12 months,Month-to-month,Electronic check,99.65,5,No,No,Fiber optic,Random Forest,0.9512687913236868,High,Month-to-month contract; Short customer tenure; No technical support,High,False
9282-IZGQK,1,0-12 months,Month-to-month,Electronic check,85.0,3,No,No,Fiber optic,Random Forest,0.9511438507170565,High,Month-to-month contract; Short customer tenure; No technical support,High,False
6023-YEBUP,3,0-12 months,Month-to-month,Electronic check,100.95,5,No,No,Fiber optic,Random Forest,0.9509356556951235,High,Month-to-month contract; Short customer tenure; No technical support,High,False
7851-WZEKY,2,0-12 months,Month-to-month,Electronic check,95.15,4,No,No,Fiber optic,Random Forest,0.9505937028016295,High,Month-to-month contract; Short customer tenure; No technical support,High,False
9681-OXGVC,5,0-12 months,Month-to-month,Electronic check,100.5,5,No,No,Fiber optic,Random Forest,0.9494482649875694,High,Month-to-month contract; Short customer tenure; No technical support,High,False
8098-LLAZX,4,0-12 months,Month-to-month,Electronic check,95.45,4,No,No,Fiber optic,Random Forest,0.9490742594069208,High,Month-to-month contract; Short customer tenure; No technical support,High,False
9025-AOMKI,6,0-12 months,Month-to-month,Bank transfer (automatic),93.55,4,No,No,Fiber optic,Random Forest,0.9488724291368775,High,Month-to-month contract; Short customer tenure; No technical support,High,False
3387-VATUS,5,0-12 months,Month-to-month,Bank transfer (automatic),94.85,4,No,No,Fiber optic,Random Forest,0.9488589372449558,High,Month-to-month contract; Short customer tenure; No technical support,High,False
1374-DMZUI,4,0-12 months,Month-to-month,Electronic check,94.3,4,No,No,Fiber optic,Random Forest,0.9487190837706305,High,Month-to-month contract; Short customer tenure; No technical support,High,False
5567-WSELE,3,0-12 months,Month-to-month,Electronic check,94.6,4,No,No,Fiber optic,Random Forest,0.9480612177810593,High,Month-to-month contract; Short customer tenure; No technical support,High,False
8884-ADFVN,7,0-12 months,Month-to-month,Electronic check,101.95,5,No,No,Fiber optic,Random Forest,0.947463192097001,High,Month-to-month contract; Short customer tenure; No technical support,High,False
9057-SIHCH,3,0-12 months,Month-to-month,Electronic check,96.6,4,No,No,Fiber optic,Random Forest,0.9463824006805653,High,Month-to-month contract; Short customer tenure; No technical support,High,False
1455-UGQVH,10,0-12 months,Month-to-month,Electronic check,98.5,5,No,No,Fiber optic,Random Forest,0.9455024531235737,High,Month-to-month contract; Short customer tenure; No technical support,High,False
3049-SOLAY,3,0-12 months,Month-to-month,Electronic check,95.2,4,No,No,Fiber optic,Random Forest,0.945239754770205,High,Month-to-month contract; Short customer tenure; No technical support,High,False
3068-OMWZA,1,0-12 months,Month-to-month,Electronic check,88.8,4,No,No,Fiber optic,Random Forest,0.9448387960470698,High,Month-to-month contract; Short customer tenure; No technical support,High,False
0655-RBDUG,7,0-12 months,Month-to-month,Bank transfer (automatic),98.05,5,No,No,Fiber optic,Random Forest,0.9447091456244737,High,Month-to-month contract; Short customer tenure; No technical support,High,False
2968-SSGAA,10,0-12 months,Month-to-month,Electronic check,100.6,5,No,No,Fiber optic,Random Forest,0.9446673609693627,High,Month-to-month contract; Short customer tenure; No technical support,High,False
9124-LHCJQ,1,0-12 months,Month-to-month,Mailed check,85.45,3,No,No,Fiber optic,Random Forest,0.9442889857552691,High,Month-to-month contract; Short customer tenure; No technical support,High,False
5150-ITWWB,3,0-12 months,Month-to-month,Electronic check,94.85,4,No,No,Fiber optic,Random Forest,0.9438651402745696,High,Month-to-month contract; Short customer tenure; No technical support,High,False
4695-WJZUE,2,0-12 months,Month-to-month,Electronic check,88.55,4,No,No,Fiber optic,Random Forest,0.9422518036064845,High,Month-to-month contract; Short customer tenure; No technical support,High,False
0723-DRCLG,1,0-12 months,Month-to-month,Electronic check,74.45,2,No,No,Fiber optic,Random Forest,0.9420539819252958,High,Month-to-month contract; Short customer tenure; No technical support,High,False
5192-EBGOV,1,0-12 months,Month-to-month,Electronic check,85.7,3,No,No,Fiber optic,Random Forest,0.9417155889519737,High,Month-to-month contract; Short customer tenure; No technical support,High,False
4102-OQUPX,1,0-12 months,Month-to-month,Electronic check,74.4,2,No,No,Fiber optic,Random Forest,0.9416754386207012,High,Month-to-month contract; Short customer tenure; No technical support,High,False
2012-NWRPA,11,0-12 months,Month-to-month,Electronic check,99.55,5,No,No,Fiber optic,Random Forest,0.9415798920132128,High,Month-to-month contract; Short customer tenure; No technical support,High,False
4826-XTSOH,1,0-12 months,Month-to-month,Electronic check,86.05,3,No,No,Fiber optic,Random Forest,0.9410192103067321,High,Month-to-month contract; Short customer tenure; No technical support,High,False
5299-SJCZT,3,0-12 months,Month-to-month,Bank transfer (automatic),101.55,5,No,No,Fiber optic,Random Forest,0.9408767716840879,High,Month-to-month contract; Short customer tenure; No technical support,High,False
6894-LFHLY,1,0-12 months,Month-to-month,Electronic check,75.75,2,No,No,Fiber optic,Random Forest,0.9408186845807811,High,Month-to-month contract; Short customer tenure; No technical support,High,False
2446-BEGGB,6,0-12 months,Month-to-month,Electronic check,98.25,5,No,No,Fiber optic,Random Forest,0.9400919207053081,High,Month-to-month contract; Short customer tenure; No technical support,High,False
